rpt_month,rpt_day,occur_month,occur_day,occur_time,location,victims,day_of_week,crime,neighborhood
12,30,12,30,14,GLENWOOD AVE SE,1,Sat,ROBBERY-PEDESTRIAN,East Lake
12,30,12,30,15,HOWELL MILL RD NW,1,Sat,LARCENY-NON VEHICLE,Berkeley Park
12,30,12,30,17,WINDSOR ST SW,1,Sat,ROBBERY-PEDESTRIAN,Pittsburgh
12,30,12,30,16,GREENBRIAR PKWY SW @GREENBRIAR MALL,1,Sat,AUTO THEFT,Greenbriar
12,30,12,30,17,HOWELL MILL RD NW,2,Sat,LARCENY-FROM VEHICLE,Berkeley Park
12,30,12,30,18,HOWELL MILL RD NW,1,Sat,AUTO THEFT,Wildwood (NPU-C)
12,30,12,30,2,PHIPPS BLVD NE,1,Sat,LARCENY-FROM VEHICLE,North Buckhead
12,30,12,30,18,MORELAND AVE NE,1,Sat,LARCENY-NON VEHICLE,Reynoldstown
12,30,12,30,17,SILVER SPRINGS CIRCLE SW,2,Sat,LARCENY-FROM VEHICLE,Florida Heights
12,30,12,30,17,ESTORIA ST SE,2,Sat,LARCENY-FROM VEHICLE,Cabbagetown
12,30,12,30,20,MARTIN LUTHER KING,1,Sat,ROBBERY-PEDESTRIAN,Florida Heights
12,30,12,30,19,PEACHTREE RD NE,1,Sat,LARCENY-NON VEHICLE,Lenox
12,30,12,30,20,LANDRUM DR SW,1,Sat,ROBBERY-PEDESTRIAN,Southwest
12,30,12,30,21,FAIRBURN RD SW,1,Sat,AGG ASSAULT,
12,30,12,30,19,W PACES FERRY RD NW,1,Sat,LARCENY-FROM VEHICLE,West Paces Ferry/Northside
12,30,12,30,21,FULTON ST SW,2,Sat,AGG ASSAULT,Mechanicsville
12,30,12,30,20,LARKIN ST,3,Sat,LARCENY-FROM VEHICLE,Castleberry Hill
12,30,12,30,18,HOLLYWOOD RD NW,1,Sat,LARCENY-NON VEHICLE,Riverside
12,30,12,30,22,MARTIN L KING JR DR SW,1,Sat,LARCENY-NON VEHICLE,Adamsville
12,29,12,29,0,14TH ST NW,1,Fri,LARCENY-FROM VEHICLE,Home Park
12,29,12,28,17,PONCE DE LEON AVE NE,1,Thu,LARCENY-FROM VEHICLE,Midtown
12,29,12,28,10,MOORES MILL RD NW,2,Thu,BURGLARY-RESIDENCE,Ridgewood Heights
12,29,12,29,3,CLEVELAND AVE SW,1,Fri,AGG ASSAULT,Hammond Park
12,29,12,28,18,VINEYARDS DR SE,1,Fri,LARCENY-FROM VEHICLE,Rosedale Heights
12,29,12,28,21,LEE ST SW,1,Fri,LARCENY-FROM VEHICLE,West End
12,29,12,28,21,CHEROKEE AVE SE,1,Fri,LARCENY-FROM VEHICLE,Grant Park
12,29,12,29,0,BROWNS MILL RD SW,1,Fri,LARCENY-FROM VEHICLE,Blair Villa/Poole Creek
12,29,12,20,11,RALPH D ABERNATHY BLVD SW,1,Wed,AUTO THEFT,West End
12,29,12,23,8,STANTON RD SW,1,Sat,LARCENY-NON VEHICLE,
12,29,12,29,0,BROWNS MILL RD SW,1,Fri,BURGLARY-NONRES,Glenrose Heights
12,29,12,28,17,LORIDANS DR NE,2,Fri,BURGLARY-RESIDENCE,North Buckhead
12,29,12,29,3,HIGH POINT TER SW,1,Fri,LARCENY-FROM VEHICLE,High Point
12,29,12,29,10,CAROLINE ST NE @TARGET - CAROLINE,1,Fri,LARCENY-NON VEHICLE,Edgewood
12,29,12,29,11,SPRINGDALE RD SW,1,Fri,LARCENY-NON VEHICLE,Hammond Park
12,29,12,28,17,LORIDANS DR,2,Fri,BURGLARY-RESIDENCE,North Buckhead
12,29,12,28,18,LUCY ST SE,1,Fri,LARCENY-FROM VEHICLE,Sweet Auburn
12,29,12,29,12,CAROLINE ST NE @TARGET - CAROLINE,1,Fri,LARCENY-NON VEHICLE,Edgewood
12,29,12,28,19,ASHBURTON AVE SE,1,Fri,BURGLARY-RESIDENCE,East Lake
12,29,12,29,13,MORELAND AVE JUNKMAND DAUGHTER,1,Fri,LARCENY-NON VEHICLE,Inman Park
12,29,12,29,0,SPRINGDALE RD SW,1,Fri,AUTO THEFT,Hammond Park
12,29,12,28,17,11TH ST NW,1,Fri,LARCENY-FROM VEHICLE,Home Park
12,29,12,28,19,HOLLY RD NW,1,Fri,LARCENY-FROM VEHICLE,Hunter Hills
12,29,12,23,16,MONROE DR NE,1,Unk,BURGLARY-NONRES,Piedmont Heights
12,29,12,28,23,HONOUR CIR NW,1,Fri,BURGLARY-RESIDENCE,Tuxedo Park
12,29,12,29,10,CHESHIRE BRIDGE RD NE,3,Fri,BURGLARY-RESIDENCE,Lindridge/Martin Manor
12,29,12,29,14,CHARLES ALLEN DR NE / 10TH ST NE,1,Fri,LARCENY-FROM VEHICLE,Midtown
12,29,12,29,14,METROPOLITAN PKWY SW,1,Fri,LARCENY-FROM VEHICLE,Sylvan Hills
12,29,12,29,14,MCLENDON AVE NE,1,Fri,LARCENY-NON VEHICLE,Candler Park
12,29,12,29,16,MORELAND AVE NE,1,Fri,LARCENY-NON VEHICLE,Inman Park
12,29,12,29,16,FRIAR TUCK RD NE,1,Fri,ROBBERY-RESIDENCE,Sherwood Forest
12,29,12,29,16,CASCADE AVE SW @KROGER - CASCADE,1,Fri,LARCENY-NON VEHICLE,West End
12,29,12,29,0,HILBURN DR SE,2,Fri,BURGLARY-RESIDENCE,East Atlanta
12,29,12,28,18,LENOX RD NE,1,Thu,LARCENY-NON VEHICLE,Lenox
12,29,12,29,18,CONSTITUTION RD SE,1,Fri,LARCENY-FROM VEHICLE,Leila Valley
12,29,12,29,10,MCDANIEL ST SW,1,Fri,BURGLARY-RESIDENCE,Pittsburgh
12,29,12,28,23,E ANDREWS DR NW,1,Fri,AUTO THEFT,South Tuxedo Park
12,29,12,29,16,LOGAN CIR NW,4,Fri,LARCENY-FROM VEHICLE,Underwood Hills
12,29,12,29,17,DEFOOR HILLS RD NW,1,Fri,LARCENY-FROM VEHICLE,Underwood Hills
12,29,12,29,17,PEACHTREE CENTER AVE NE,1,Fri,LARCENY-FROM VEHICLE,Downtown
12,29,12,29,17,PEACHTREE RD NE,1,Fri,LARCENY-FROM VEHICLE,
12,29,12,29,19,NORTH AVE NE,1,Fri,ROBBERY-PEDESTRIAN,Old Fourth Ward
12,29,12,23,19,N ORMEWOOD PARK DR SE,1,Sat,BURGLARY-RESIDENCE,Ormewood Park
12,29,12,29,13,PEACHTREE RD NW,1,Fri,LARCENY-NON VEHICLE,
12,29,12,29,21,CELEBRATION DR SW,1,Fri,ROBBERY-PEDESTRIAN,Midwest Cascade
12,29,12,29,7,JOSEPH E BOONE BLVD NW,1,Fri,LARCENY-NON VEHICLE,Bankhead
12,29,12,29,23,DONALD LEE HOLLOWELL PKWY NW,1,Fri,AUTO THEFT,Bankhead
12,29,12,29,20,FLAT SHOALS AVE SE,1,Fri,LARCENY-FROM VEHICLE,East Atlanta
12,29,12,29,20,HOLLY ST NW,1,Fri,LARCENY-FROM VEHICLE,Home Park
12,29,12,29,22,PINE ST NE,1,Fri,LARCENY-NON VEHICLE,Downtown
12,29,12,29,10,TANNER ST SE,2,Fri,LARCENY-FROM VEHICLE,Sweet Auburn
12,29,12,28,7,SPINE RD,1,Fri,LARCENY-NON VEHICLE,
12,29,12,29,21,CAMP CREEK PKWY SW,1,Fri,LARCENY-FROM VEHICLE,Princeton Lakes
12,28,12,27,20,BAKER ST NW,1,Wed,LARCENY-FROM VEHICLE,Downtown
12,28,12,28,0,JOSEPH E BOONE BLVD NW,1,Thu,AGG ASSAULT,Grove Park
12,28,12,27,21,CHAMBERLAIN ST SE,3,Wed,LARCENY-FROM VEHICLE,Sweet Auburn
12,28,12,28,1,GLENN ST SW,1,Thu,AGG ASSAULT,Mechanicsville
12,28,12,27,22,HILLIARD ST NE,2,Thu,LARCENY-FROM VEHICLE,Sweet Auburn
12,28,12,28,2,BRADLEY ST SE,1,Thu,AUTO THEFT,Old Fourth Ward
12,28,12,28,3,PRYOR ST SW,1,Thu,LARCENY-NON VEHICLE,Peoplestown
12,28,12,27,20,ALLENE AVE SW,1,Thu,AUTO THEFT,Capitol View
12,28,12,28,2,N COLONIAL HOMES CIR NW,1,Thu,LARCENY-FROM VEHICLE,Colonial Homes
12,28,12,27,21,CUMBERLAND RD NE,1,Thu,LARCENY-FROM VEHICLE,Morningside/Lenox Park
12,28,12,28,8,JESSE HILL JR DR NE,1,Thu,LARCENY-NON VEHICLE,Downtown
12,28,12,27,17,MUSCOGEE AVE NW,1,Thu,LARCENY-FROM VEHICLE,Peachtree Heights West
12,28,12,28,1,S BEND AVE SE,1,Thu,BURGLARY-RESIDENCE,Lakewood Heights
12,28,12,27,21,HOSEA L WILLIAMS DR SE,1,Thu,AUTO THEFT,Kirkwood
